date,open,high,low,close,volume
2023-12-26,659.0,660.85,648.0,651.5,151516
2023-12-27,657.9,678.5,647.65,674.45,614017
2023-12-28,676.6,715.6,671.45,708.8,638810
2023-12-29,708.0,715.0,687.1,709.85,455697
2024-01-01,709.85,714.4,693.0,702.85,175009
2024-01-02,695.25,699.95,675.0,676.9,348865
2024-01-03,681.1,682.05,652.9,655.25,203415
2024-01-04,660.0,662.05,651.25,653.85,133259
2024-01-05,653.85,664.95,644.05,662.45,1231143
2024-01-08,664.9,684.25,655.4,672.45,895046
2024-01-09,674.8,680.0,671.05,674.75,481800
2024-01-10,678.0,688.0,662.0,683.15,203133
2024-01-11,685.0,686.9,666.2,680.35,186788
2024-01-12,679.2,679.2,667.15,669.7,134150
2024-01-15,673.9,673.9,658.25,660.55,140091
2024-01-16,660.0,668.2,654.55,661.6,141899
2024-01-17,655.0,658.45,637.65,646.55,266993
2024-01-18,646.55,654.5,638.1,643.05,229384
2024-01-19,650.0,659.0,626.05,628.75,277493
2024-01-20,638.15,643.75,630.1,637.65,77610
2024-01-23,644.0,644.9,610.0,619.0,448657
2024-01-24,620.0,627.0,591.5,617.0,332842
2024-01-25,617.0,637.4,614.95,630.2,244105
2024-01-29,633.0,643.55,626.0,634.0,899275
2024-01-30,639.95,642.0,618.85,628.6,170252
2024-01-31,630.35,640.65,616.15,620.05,347921
2024-02-01,621.0,624.8,609.8,617.5,364500
2024-02-02,620.0,620.6,601.1,604.95,290046
2024-02-05,610.0,621.3,597.25,615.5,381313
2024-02-06,623.45,639.0,615.0,628.5,1281972
2024-02-07,639.9,652.7,632.05,643.1,321124
2024-02-08,644.75,669.7,643.0,656.15,791047
2024-02-09,654.6,659.55,644.0,654.3,410126
2024-02-12,651.85,666.0,641.05,648.25,1146649
2024-02-13,650.75,698.0,647.05,691.7,1283704
2024-02-14,690.25,719.95,680.65,707.85,696379
2024-02-15,712.0,726.95,705.7,713.6,665907
2024-02-16,713.05,715.0,685.05,692.4,930453
2024-02-19,695.15,707.6,695.15,702.0,87428
2024-02-20,707.95,709.0,695.55,705.5,113402
2024-02-21,708.75,744.9,707.75,713.7,327025
2024-02-22,719.0,721.1,689.0,708.5,220919
2024-02-23,710.0,724.75,699.35,721.7,138055
2024-02-26,721.9,775.0,717.8,769.6,1134217
2024-02-27,773.8,788.95,737.45,747.85,837440
2024-02-28,748.05,751.1,710.05,716.3,501982
2024-02-29,723.45,743.95,707.9,718.95,824679
2024-03-01,723.0,743.85,721.55,731.7,347110
2024-03-02,735.8,735.8,718.0,726.85,12606
2024-03-04,730.75,739.7,721.05,727.3,114655
2024-03-05,708.35,734.8,701.55,720.95,235044
2024-03-06,710.15,717.6,692.2,696.25,247042
2024-03-07,702.55,705.1,675.85,679.8,298672
2024-03-11,681.05,722.65,672.0,710.7,743621
2024-03-12,713.55,731.45,690.0,708.45,594950
2024-03-13,704.9,707.15,674.75,697.6,472495
2024-03-14,682.0,700.0,679.65,696.7,141794
2024-03-15,695.8,700.55,685.1,694.35,284769
2024-03-18,705.0,710.0,682.35,689.65,132046
2024-03-19,692.0,700.0,688.55,692.6,256540
2024-03-20,694.35,696.35,666.05,673.75,177154
2024-03-21,676.55,689.55,670.0,673.4,285163
2024-03-22,675.7,682.45,659.05,665.85,802243
2024-03-26,665.8,666.0,647.0,650.3,264980
2024-03-27,652.55,674.0,650.85,667.95,530619
2024-03-28,667.05,681.0,658.35,675.6,481500
2024-04-01,685.0,702.5,677.3,696.8,208800
2024-04-02,696.8,704.55,680.95,695.85,272675
2024-04-03,695.85,745.45,695.85,721.35,609168
2024-04-04,723.3,727.0,711.2,721.0,160014
2024-04-05,720.95,722.0,707.1,715.9,141185
2024-04-08,719.7,724.45,707.35,720.1,558348
2024-04-09,735.95,748.4,715.0,719.15,944127
2024-04-10,729.95,741.45,722.7,735.8,1515257
2024-04-12,736.85,765.0,734.7,748.7,1420517
2024-04-15,745.05,756.7,730.0,739.9,257991
2024-04-16,735.3,763.0,735.3,750.8,787154
2024-04-18,757.6,900.95,754.2,799.4,2222350
2024-04-19,796.0,823.0,785.1,790.6,957760
2024-04-22,800.0,810.0,765.0,769.45,507505
2024-04-23,778.3,813.1,760.05,766.05,793448
2024-04-24,870.0,870.0,794.05,801.4,5165029
2024-04-25,802.0,845.0,793.85,838.75,2685823
2024-04-26,840.0,841.85,800.0,808.05,2460020
2024-04-29,811.15,811.5,784.0,789.25,1356055
2024-04-30,792.1,793.0,774.4,784.05,424089
2024-05-02,784.0,791.75,765.1,774.05,530029
2024-05-03,778.5,796.35,768.05,791.95,731424
2024-05-06,799.95,799.95,756.45,766.85,815497
2024-05-07,773.0,774.0,738.6,749.25,872091
2024-05-08,750.8,758.4,740.35,744.5,393318
2024-05-09,750.0,754.0,716.25,730.85,214799
2024-05-10,738.75,765.0,735.35,748.4,305148
2024-05-13,750.0,764.0,735.05,759.25,260125
2024-05-14,759.35,768.9,744.35,759.1,349959
2024-05-15,761.0,769.85,752.2,754.9,152610
2024-05-16,752.0,768.5,746.05,764.6,270179
2024-05-17,767.45,790.0,764.3,787.6,699051
2024-05-18,799.95,800.0,782.8,786.9,37810
