date,open,high,low,close,volume
2023-12-26,90.05,92.7,89.25,91.55,18112291
2023-12-27,94.6,95.6,92.35,92.9,30200399
2023-12-28,93.3,93.35,90.9,91.3,16418489
2023-12-29,91.7,92.4,90.6,90.95,14891333
2024-01-01,94.0,94.2,91.75,92.9,24607805
2024-01-02,94.5,95.1,92.05,93.3,29129762
2024-01-03,93.5,94.1,92.2,92.7,12797596
2024-01-04,92.95,95.95,92.6,94.05,39135556
2024-01-05,94.5,97.0,94.0,94.75,46219735
2024-01-08,96.5,97.0,94.1,94.45,22160288
2024-01-09,95.2,95.3,93.35,94.1,18098807
2024-01-10,94.5,94.5,88.85,90.9,32301729
2024-01-11,90.9,93.7,90.9,93.15,21381314
2024-01-12,94.0,95.5,93.65,94.15,21610624
2024-01-15,94.85,103.8,93.5,102.5,115323467
2024-01-16,103.25,103.7,97.3,99.85,67344615
2024-01-17,99.0,104.85,96.6,101.4,72622449
2024-01-18,101.5,102.35,96.7,100.6,30447421
2024-01-19,101.35,107.3,101.1,105.45,78843768
2024-01-20,105.8,114.0,105.55,110.75,72829380
2024-01-23,112.0,116.5,102.5,103.9,59032672
2024-01-24,104.65,114.0,102.6,113.15,61539848
2024-01-25,114.0,118.9,112.4,116.45,73902690
2024-01-29,120.0,134.4,119.2,129.2,135868902
2024-01-30,133.5,134.7,126.7,127.95,54326487
2024-01-31,128.6,132.85,127.2,131.8,43866759
2024-02-01,132.35,132.35,125.8,127.55,40747230
2024-02-02,128.8,146.35,128.55,142.25,150820832
2024-02-05,145.0,170.5,135.1,148.3,238154964
2024-02-06,152.0,159.8,143.9,146.95,94207941
2024-02-07,148.4,157.4,145.6,146.9,74842579
2024-02-08,155.55,161.45,148.15,150.65,80234599
2024-02-09,151.4,151.95,137.55,140.55,68554166
2024-02-12,125.0,130.7,112.45,112.45,117827264
2024-02-13,107.25,114.0,100.65,108.15,158431484
2024-02-14,106.2,123.2,104.35,120.55,166998522
2024-02-15,123.0,128.2,122.7,124.95,103105342
2024-02-16,125.4,125.9,118.6,120.5,55011256
2024-02-19,121.5,128.5,120.95,126.3,60306871
2024-02-20,125.95,126.3,121.8,123.15,31893112
2024-02-21,123.0,123.0,119.15,120.8,27013817
2024-02-22,121.0,123.4,115.7,121.6,34354009
2024-02-23,122.0,122.1,119.0,119.5,18339054
2024-02-26,119.95,127.65,118.35,120.35,52788418
2024-02-27,121.3,126.9,121.0,122.3,26174798
2024-02-28,122.9,124.4,116.2,117.85,29143381
2024-02-29,119.0,122.55,114.6,121.15,30018100
2024-03-01,122.9,124.15,120.85,121.2,14130712
2024-03-02,121.2,121.8,119.8,120.95,2792233
2024-03-04,124.0,125.8,121.75,122.3,24900057
2024-03-05,122.0,123.6,120.2,121.2,16109330
2024-03-06,121.9,121.95,116.8,119.45,18223921
2024-03-07,119.7,123.7,118.2,122.2,22891665
2024-03-11,122.85,122.9,119.1,119.9,14752739
2024-03-12,120.0,120.0,111.0,112.35,24775563
2024-03-13,112.15,114.35,98.7,101.2,50527598
2024-03-14,100.4,120.0,98.05,118.65,97307324
2024-03-15,116.8,128.0,113.55,124.6,119509864
2024-03-18,128.0,130.8,122.2,123.65,63037512
2024-03-19,122.2,124.25,118.0,118.55,30678573
2024-03-20,119.7,120.75,115.25,117.85,34239826
2024-03-21,119.7,124.25,119.15,120.7,30305264
2024-03-22,120.8,124.8,119.8,122.9,24076684
2024-03-26,122.9,123.75,120.4,121.4,19125648
2024-03-27,122.0,127.15,121.5,122.8,44973081
2024-03-28,123.9,124.75,121.0,121.4,18585313
2024-04-01,122.7,126.2,122.7,125.4,19806573
2024-04-02,125.85,134.65,124.1,132.5,68386748
2024-04-03,132.0,135.95,130.8,133.35,43916185
2024-04-04,134.3,135.75,131.0,131.7,23550235
2024-04-05,131.6,137.5,128.7,135.4,48760930
2024-04-08,136.4,137.1,133.35,135.1,21045516
2024-04-09,135.7,135.7,130.25,130.7,20383640
2024-04-10,131.0,133.55,130.55,132.4,18015899
2024-04-12,131.0,134.15,130.2,130.85,18246054
2024-04-15,122.15,127.25,121.7,124.2,41098936
2024-04-16,123.65,128.4,122.55,127.5,19899223
2024-04-18,128.0,130.45,126.3,127.95,25152210
2024-04-19,125.0,126.65,122.55,124.2,23340179
2024-04-22,125.95,129.15,125.8,128.65,15646667
2024-04-23,129.2,131.1,127.5,129.4,16476180
2024-04-24,130.1,131.7,128.85,129.7,15583301
2024-04-25,130.4,134.4,129.45,132.95,25448191
2024-04-26,133.6,137.4,131.75,134.6,35340965
2024-04-29,136.0,141.3,135.4,137.1,29352480
2024-04-30,137.7,139.25,133.9,134.4,22527023
2024-05-02,135.0,138.65,133.65,137.15,20225776
2024-05-03,137.6,139.75,133.0,135.15,19293037
2024-05-06,136.4,136.9,130.5,132.45,18424655
2024-05-07,132.15,132.65,125.6,126.6,22142878
2024-05-08,126.85,130.2,125.25,128.2,14655120
2024-05-09,128.4,129.55,123.0,123.45,14126991
2024-05-10,124.35,125.85,119.85,125.2,14316298
2024-05-13,125.15,125.35,120.85,123.5,11861165
2024-05-14,124.1,131.4,124.0,130.55,17989336
2024-05-15,130.85,131.8,128.85,129.3,10558012
2024-05-16,130.15,133.45,129.85,131.8,14514506
2024-05-17,132.35,135.9,131.3,134.75,19367924
2024-05-18,135.45,135.7,134.1,134.7,2682404
2024-05-21,135.35,151.2,133.5,148.15,82857438
2024-05-22,149.0,153.0,144.55,146.2,33312243
2024-05-23,146.2,152.0,144.85,147.4,31445912
2024-05-24,147.4,149.75,143.55,144.85,15046518
2024-05-27,145.65,147.2,141.95,144.5,16544136
2024-05-28,145.3,145.45,137.6,139.0,18723285
2024-05-29,139.35,141.5,136.0,139.7,16472648
2024-05-30,133.9,136.6,131.5,133.7,32562990
2024-05-31,135.5,143.5,130.55,139.7,30917309
2024-06-03,153.0,153.0,141.35,143.15,47119535
2024-06-04,143.0,143.0,114.55,123.2,91763944
2024-06-05,126.95,128.35,116.8,126.25,26386273
2024-06-06,128.8,133.8,128.5,131.2,20232853
2024-06-07,131.0,134.7,129.1,133.35,17454204
2024-06-10,135.0,135.4,131.93,132.39,14138283
2024-06-11,133.5,135.4,132.2,133.61,12882797
2024-06-12,134.3,136.59,133.55,134.13,12171563
2024-06-13,135.0,135.39,132.44,133.12,8994923
2024-06-14,133.74,138.85,131.85,135.03,19486439
2024-06-18,135.5,136.24,133.75,134.13,9005824
2024-06-19,134.0,134.5,130.5,131.91,9063500
2024-06-20,132.4,134.38,131.22,132.28,8799777
2024-06-21,132.0,134.2,131.26,131.94,11534887
2024-06-24,131.94,132.6,130.72,131.19,6611342
2024-06-25,131.73,132.5,128.69,129.34,5687103
2024-06-26,130.0,132.25,128.31,129.67,10653386
2024-06-27,131.0,133.41,129.7,132.36,16665695
2024-06-28,132.5,133.28,130.5,131.63,9005418
2024-07-01,132.45,132.9,130.51,131.78,8431793
2024-07-02,132.75,132.8,130.51,131.0,6830983
2024-07-03,131.3,137.0,130.61,136.35,37265683
2024-07-04,136.5,142.0,136.35,140.4,47117085
2024-07-05,140.95,144.2,139.45,142.17,35158182
2024-07-08,143.3,147.5,142.0,143.02,30388072
2024-07-09,144.2,149.0,143.01,145.36,40997969
2024-07-10,146.0,146.88,136.01,142.89,31536147
2024-07-11,143.35,151.55,142.33,149.94,60668031
2024-07-12,152.8,157.0,150.0,150.69,87200911
2024-07-15,151.55,158.0,147.52,153.78,62528081
2024-07-16,154.65,156.0,150.5,151.33,22878049
2024-07-18,151.9,153.4,144.21,146.44,25911911
2024-07-19,145.0,147.49,140.18,140.9,21169916
2024-07-22,139.98,144.79,138.13,144.18,14036159
2024-07-23,145.0,149.18,130.1,146.59,33060907
2024-07-24,144.3,148.25,143.42,144.48,14271564
2024-07-25,143.0,143.6,140.59,141.04,9982023
2024-07-26,156.53,159.65,147.5,148.11,105299846
2024-07-29,149.4,152.25,147.9,150.83,25730974
2024-07-30,149.89,151.9,149.32,150.85,15490158
2024-07-31,151.5,153.7,147.0,148.47,19842731
2024-08-01,149.6,150.0,146.0,146.51,11503150
2024-08-02,143.0,144.95,142.26,143.81,11812640
2024-08-05,140.0,142.2,136.6,139.5,22974955
2024-08-06,140.07,143.77,135.0,135.6,13822499
2024-08-07,139.0,141.45,136.75,140.59,8869977
2024-08-08,140.4,143.39,138.36,139.84,11181186
2024-08-09,141.8,142.75,138.5,139.32,8861770
2024-08-12,138.0,141.9,137.0,140.55,12376316
2024-08-13,141.01,143.32,135.66,137.12,9445769
2024-08-14,144.2,148.84,140.78,142.13,77316074
2024-08-16,144.0,144.64,142.0,142.96,10909616
2024-08-19,143.75,143.75,140.69,141.15,11478780
2024-08-20,141.8,141.8,138.15,138.51,8504210
2024-08-21,138.0,138.5,136.0,136.52,11552938
2024-08-22,136.52,136.71,133.0,133.31,20320367
2024-08-23,133.3,135.9,131.9,133.71,14522068
2024-08-26,134.4,135.26,133.3,133.62,7200371
2024-08-27,133.93,134.5,132.5,132.71,5502648
2024-08-28,132.71,133.35,132.0,132.31,7422106
2024-08-29,132.75,136.5,132.35,133.72,18034863
2024-08-30,134.2,134.29,132.55,133.35,7628424
2024-09-02,140.0,140.0,135.32,136.45,27209402
2024-09-03,136.5,136.85,135.01,135.79,5889109
2024-09-04,132.81,134.7,132.7,133.73,4878488
2024-09-05,134.35,134.4,132.45,132.79,5039825
2024-09-06,132.25,133.25,129.8,130.51,7226505
2024-09-09,130.1,130.1,124.76,126.21,12382417
2024-09-10,127.0,134.44,127.0,133.61,24670862
2024-09-11,134.15,134.35,131.0,131.83,7434710
2024-09-12,132.0,132.5,129.31,131.53,7846440
2024-09-13,131.8,132.85,130.2,130.57,4785993
2024-09-16,130.8,132.3,129.5,129.78,6108302
2024-09-17,130.0,132.2,129.2,129.73,6791823
2024-09-18,130.06,131.8,128.7,129.06,5328689
2024-09-19,130.9,131.0,125.51,128.77,8065441
2024-09-20,129.0,131.0,127.83,130.3,6597480
2024-09-23,130.65,131.4,127.8,128.83,5043734
2024-09-24,129.0,130.83,128.5,129.38,5439398
2024-09-25,130.0,130.8,126.64,126.95,7744852
2024-09-26,127.4,127.95,125.8,125.99,5843848
2024-09-27,127.11,134.89,127.11,133.84,35532267
2024-09-30,132.99,135.0,129.92,132.51,16081941
2024-10-01,133.0,133.25,130.3,130.84,7161741
2024-10-03,127.0,129.38,126.6,126.98,6910638
2024-10-04,126.02,127.98,124.1,126.67,6079979
2024-10-07,126.71,127.5,117.36,118.0,12710176
2024-10-08,118.5,121.6,116.37,120.54,10965315
2024-10-09,122.3,123.8,120.55,121.01,6747216
2024-10-10,122.47,123.23,118.6,119.06,6102757
2024-10-11,119.0,120.71,118.38,120.19,3995606
2024-10-14,120.71,121.42,118.9,119.11,4213161
2024-10-15,119.8,123.4,119.51,121.32,8648171
2024-10-16,120.6,122.25,118.59,119.77,5051985
2024-10-17,119.5,120.22,118.55,118.9,3367212
2024-10-18,118.0,123.86,115.52,122.26,11128401
2024-10-21,122.98,122.98,118.8,119.39,4534966
2024-10-22,119.0,119.71,110.0,110.94,9842266
2024-10-23,110.94,113.18,106.2,111.86,9896931
2024-10-24,111.86,114.65,110.69,111.82,5834815
2024-10-25,111.81,112.15,106.52,107.28,6877354
2024-10-28,107.98,109.8,106.22,108.82,4983337
2024-10-29,109.3,111.74,108.0,111.2,4446340
2024-10-30,110.32,113.99,109.81,113.47,5043181
2024-10-31,113.3,113.85,112.06,113.33,3453974
2024-11-01,113.8,115.1,113.55,114.9,1191170
2024-11-04,114.99,115.1,110.49,111.41,4296481
2024-11-05,110.15,116.85,109.15,113.56,11375103
2024-11-06,114.5,115.8,113.11,115.4,7126848
2024-11-07,115.8,117.4,114.5,114.97,5278150
2024-11-08,114.98,114.98,111.0,111.46,3626568
2024-11-11,110.02,111.1,108.41,109.12,4677441
2024-11-12,109.95,111.77,107.65,108.63,4305092
2024-11-13,107.2,108.4,103.36,104.19,6363826
2024-11-14,103.5,106.34,103.45,103.77,5101719
2024-11-18,104.0,105.38,101.7,104.62,5543260
2024-11-19,105.1,107.96,104.9,105.83,5049335
2024-11-21,105.6,105.6,102.85,103.44,4789835
2024-11-22,105.5,110.3,105.0,107.57,27960948
2024-11-25,109.85,114.2,109.75,112.98,10377460
2024-11-26,113.6,114.21,112.21,112.83,5158383
2024-11-27,112.51,114.16,111.56,113.68,4539803
2024-11-28,114.0,119.7,113.7,117.96,9646657
2024-11-29,119.0,119.2,114.47,114.89,7526829
2024-12-02,114.5,115.27,113.61,113.81,4666093
2024-12-03,114.0,117.9,113.87,117.03,6261955
2024-12-04,117.96,118.9,116.8,117.22,6000744
2024-12-05,117.85,117.9,116.45,117.05,3270035
2024-12-06,117.6,122.8,116.71,120.61,20024908
2024-12-09,121.15,124.5,120.85,122.27,14027054
2024-12-10,122.1,122.51,119.04,119.39,6551124
2024-12-11,119.3,121.19,119.11,120.19,4952625
2024-12-12,120.19,120.6,117.84,118.43,3381492
2024-12-13,118.0,118.5,115.0,118.06,4333788
2024-12-16,118.06,119.25,117.1,117.31,3770291
2024-12-17,117.65,119.95,116.6,118.03,6282544
2024-12-18,118.0,118.14,115.13,115.7,5738171
2024-12-19,112.05,115.05,111.8,114.27,4171712
2024-12-20,114.3,115.34,111.0,111.54,4865491
2024-12-23,112.29,112.72,109.33,109.77,4755898
2024-12-24,109.99,111.68,109.35,109.93,3571079
2024-12-26,109.92,111.11,108.32,108.87,4244013
2024-12-27,109.45,110.1,107.0,107.46,2957351
2024-12-30,107.5,108.1,102.71,103.5,9762940
2024-12-31,103.4,105.33,103.1,104.41,5336257
2025-01-01,107.28,112.33,106.5,110.85,70715703
2025-01-02,111.64,112.5,107.35,109.35,17092773
2025-01-03,109.5,111.79,108.9,109.09,7370301
2025-01-06,109.45,109.55,102.21,102.85,12191154
2025-01-07,103.87,105.41,103.5,104.24,6529601
2025-01-08,104.24,104.94,101.78,103.01,6771947
2025-01-09,102.98,103.4,100.33,100.68,5329003
2025-01-10,100.0,100.68,96.6,96.92,8282410
2025-01-13,94.96,96.96,90.16,90.6,11287576
2025-01-14,90.91,95.0,90.9,94.04,10042149
2025-01-15,95.2,97.1,93.84,94.73,8555894
2025-01-16,96.0,99.0,95.99,97.26,6647070
2025-01-17,96.5,101.06,96.41,100.76,10420509
2025-01-20,100.2,102.23,99.7,101.53,6182385
2025-01-21,101.98,102.37,98.31,98.9,6200896
